"","Parameter","Statistic","Control","OA"
"1","CALCULATED PARAMETERS","","",""
"2","pCO2(gas-e)","(ppm-v)","490","3801"
"3","","SD","10","91"
"4","","Range","478-496","3736-3865"
"5","","n","3","2"
"6","TA","(uM)","1318","1296"
"7","","SD","7","7"
"8","","Range","1312-1325","1292-1301"
"9","","n","3","2"
"10","[CO32-]","(uM)","50","7"
"11","","SD","1","0"
"12","","Range","49-52","7-8"
"13","","n","3","2"
"14","[HCO3-]","(uM)","1191","1277"
"15","","SD","4","7"
"16","","Range","1186-1194","1273-1282"
"17","","n","3","2"
"18","[CO2](aq)","(uM)","17","133"
"19","","SD","0","3"
"20","","Range","17-17","131-135"
"21","","n","3","2"
"22","SatCalcite","","1.334","0.198"
"23","","SD","0.034","0.003"
"24","","Range","1.312-1.374","0.196-0.2"
"25","","n","3","2"
"26","SatAragonite","","0.818","0.121"
"27","","SD","0.021","0.002"
"28","","Range","0.804-0.842","0.12-0.122"
"29","","n","3","2"
"30","MEASURED PARAMETERS","","",""
"31","salinity","(ppt)","19.9","19.9"
"32","","SD","0","0"
"33","","Range","19.9-19.9","19.9-19.9"
"34","","n","3","2"
"35","Temperature","(C)","20","20"
"36","","SD","0","0"
"37","","Range","20-20","20-20"
"38","","n","3","2"
"39","pH","(Total)","7.82","6.96"
"40","","SD","0.01","0.01"
"41","","Range","7.81-7.83","6.95-6.96"
"42","","n","3","2"
"43","DIC","(uM)","1258","1418"
"44","","SD","5","10"
"45","","Range","1253-1263","1411-1425"
"46","","n","3","2"
"47","TA","(uM)","1329","1337"
"48","","SD","5","10"
"49","","Range","1326-1335","1330-1344"
"50","","n","3","2"
