Batch,CRM,CRMpH1,CRMpH2,CRMpH3,CRMpHAvg,CRMSalinity,Date,pH10_1,pH10_2,pH10_3,pH10Avg,pH7_1,pH7_2,pH7_3,pH7Avg,Salinity1,Salinity2,Salinity3,SalinityAvg,SalinityCorr,Slope,Intercept,WCStandardNotes
1_B1,NA,NA,NA,NA,NA,NA,20180712,-211,-210,-210,-210.3333333,-36,-35,-35,-35.33333333,NA,NA,NA,NA,NA,-0.017142857,6.394285714,NA
2_B1,NA,NA,NA,NA,NA,NA,20180713,-210,-211,-210,-210.3333333,-35,-35,-35,-35,NA,NA,NA,NA,NA,-0.017110266,6.401140684,NA
3_B1,NA,NA,NA,NA,NA,NA,20180713,-209,-210,-209,-209.3333333,-35,-35,-35,-35,NA,NA,NA,NA,NA,-0.017208413,6.397705545,NA
4_B1,NA,NA,NA,NA,NA,NA,20180713,-209,-209,-209,-209,-33,-33,-33,-33,NA,NA,NA,NA,NA,-0.017045455,6.4375,NA
5_B1,NA,NA,NA,NA,NA,NA,20180713,-211,-211,-211,-211,-34,-34,-34,-34,NA,NA,NA,NA,NA,-0.016949153,6.423728814,NA
6_B1,162,NA,NA,NA,NA,33.312,20180705,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.5,33.5,33.5,33.5,-0.188,-0.017077799,6.385199241,NA
7_B1,162,NA,NA,NA,NA,33.312,20180709,-214,-214,-213,-213.6666667,-26,-26,-26,-26,33.4,33.4,33.4,33.4,-0.088,-0.01598579,6.584369449,NA
8_B1,162,NA,NA,NA,NA,33.312,20180717,-212,-212,-211,-211.6666667,-36,-36,-36,-36,33.4,33.4,33.4,33.4,-0.088,-0.017077799,6.385199241,NA
1_B2,NA,NA,NA,NA,NA,NA,20180727,-216,-216,-216,-216,-35,-35,-35,-35,NA,NA,NA,NA,NA,-0.016574586,6.419889503,NA
2_B2,NA,NA,NA,NA,NA,NA,20180727,-213,-213,-213,-213,-36,-36,-36,-36,NA,NA,NA,NA,NA,-0.016949153,6.389830508,NA
3_B2,NA,NA,NA,NA,NA,NA,20180727,-213,-213,-213,-213,-37,-37,-37,-37,NA,NA,NA,NA,NA,-0.017045455,6.369318182,first calibration for pH 7 was -38
4_B2,NA,NA,NA,NA,NA,NA,20180727,-217,-217,-217,-217,-38,-38,-38,-38,NA,NA,NA,NA,NA,-0.016759777,6.363128492,NA
5_B2,162,NA,NA,NA,NA,33.312,20180724,-208,-208,-208,-208,-34,-34,-34,-34,33.6,33.6,33.6,33.6,-0.288,-0.017241379,6.413793103,NA
1_B3,NA,NA,NA,NA,NA,NA,20180810,-212,-212,-212,-212,-37,-37,-37,-37,NA,NA,NA,NA,NA,-0.017142857,6.365714286,NA
2_B3,NA,NA,NA,NA,NA,NA,20180810,-212,-212,-212,-212,-37,-37,-37,-37,NA,NA,NA,NA,NA,-0.017142857,6.365714286,NA
3_B3,NA,NA,NA,NA,NA,NA,20180810,-212,-212,-212,-212,-37,-37,-37,-37,NA,NA,NA,NA,NA,-0.017142857,6.365714286,NA
4_B3,NA,NA,NA,NA,NA,NA,20180813,-209,-209,-210,-209.3333333,-32,-32,-32,-32,NA,NA,NA,NA,NA,-0.016917293,6.458646616,temp 19.4
5_B3,NA,NA,NA,NA,NA,NA,20180813,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,temp 19.4
6_B3,162,NA,NA,NA,NA,33.312,20180810,-212,-213,-213,-212.6666667,-38,-38,-38,-38,33.3,33.3,33.4,33.33333333,-0.02133333,-0.017175573,6.347328244,NA
7_B3,162,NA,NA,NA,NA,33.312,20180811,-212,-212,-213,-212.3333333,-38,-38,-38,-38,33.3,33.4,33.3,33.33333333,-0.02133333,-0.017208413,6.346080306,NA
8_B3,162,NA,NA,NA,NA,33.312,20180806,-210,-211,-210,-210.3333333,-36,-36,-36,-36,33.2,33.2,33.2,33.2,0.112,-0.017208413,6.380497132,NA
